school,department_name,harvard_equivalent,nih_2020
Columbia-Vagelos,PHYSIOLOGY AND CELLULAR BIOPHYSICS,CB,11227132
Ohio State,PHYSIOLOGY AND CELL BIOLOGY,CB,13752504
Pennsylvania-Perelman,CANCER BIOLOGY,NA,9020760
Pennsylvania-Perelman,CELL AND DEVELOPMENTAL BIOLOGY,CB,19181746
Yale,CELL BIOLOGY,CB,7685164
Indiana,ANATOMY CELL BIOLOGY AND PHYSIOLOGY,CB,11108275
U Washington,MOLECULAR AND CELLULAR BIOLOGY,CB,NA
Jefferson-Kimmel,PATHOLOGY ANATOMY AND CELL BIOLOGY,CB,8337362
NYU-Grossman,CELL BIOLOGY,CB,8021762
Miami-Miller,CELL BIOLOGY,CB,1378294
Illinois,CELL AND DEVELOPMENTAL BIOLOGY,CB,NA
Illinois,ANATOMY AND CELL BIOLOGY,CB,7315179
Washington U St Louis,CELL BIOLOGY AND PHYSIOLOGY,CB,9830620
Tulane,STRUCTURAL AND CELLULAR BIOLOGY,CB,338308
Duke,CELL BIOLOGY,CB,13622246
Wake Forest,CANCER BIOLOGY,NA,6730979
Wayne State,ONCOLOGY,NA,10497221
Cornell-Weill,CELL AND DEVELOPMENTAL BIOLOGY,CB,1118798
Einstein,CELL BIOLOGY,CB,NA
Temple-Katz,FELS INST FOR CANCER RESEARCH AND MOLECULAR BIOLOGY,CB,2870004
Chicago-Pritzker,BEN MAY DEPARTMENT FOR CANCER RESEARCH,NA,NA
Pittsburgh,CELL BIOLOGY,CB,3806817
New York Medical,CELL BIOLOGY AND ANATOMY,CB,514181
USF-Morsani,PATHOLOGY AND CELL BIOLOGY,CB,278916
Emory,CELL BIOLOGY,CB,6799721
Chicago Med Franklin,CELL BIOLOGY AND ANATOMY,CB,1290156
Loyola Stritch,INTEGRATIVE CELL BIOLOGY,CB,550961
Colorado,CELL AND DEVELOPMENTAL BIOLOGY,CB,11237915
Vanderbilt,CELL AND DEVELOPMENTAL BIOLOGY,CB,20121833
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,SCRB,81354
Iowa-Carver,ANATOMY AND CELL BIOLOGY,CB,6507976
SUNY Downstate,CELL BIOLOGY,CB,4747269
Baylor,MOLECULAR AND CELLULAR BIOLOGY,CB,16951267
Massachusetts,MOLECULAR CELL AND CANCER BIOLOGY,CB,17797070
North Carolina,CELL BIOLOGY AND PHYSIOLOGY,CB,22090613
UC San Diego,CELLULAR AND MOLECULAR MEDICINE,CB,21078801
Oregon,CELL DEVELOPMENTAL AND CANCER BIOLOGY,CB,2964750
Rush,ANATOMY AND CELL BIOLOGY,CB,1201942
SUNY Upstate,CELL AND DEVELOPMENTAL BIOLOGY,CB,1383834
MU South Carolina,REGENERATIVE MEDICINE AND CELL BIOLOLGY,CB;SCRB,5392619
MC Georgia Augusta,CELLULAR BIOLOGY AND ANATOMY,CB,5264233
UT Medical Branch,NEUROSCIENCE CELL BIOLOGY AND ANATOMY,CB,4609834
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,16863807
Florida,ANATOMY AND CELL BIOLOGY,CB,1408260
Oklahoma,CELL BIOLOGY,CB,4916963
Arkansas,PHYSIOLOGY AND CELL BIOLOGY,CB,5854333
South Carolina Columbia,CELL BIOLOGY AND ANATOMY,CB,705065
UC Davis,CELL BIOLOGY AND HUMAN ANATOMY,CB,13268451
LSU New Orleans,CELL BIOLOGY AND ANATOMY,CB,1138417
LSU Shreveport,CELLULAR BIOLOGY AND ANATOMY,CB,536125
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,10777974
South Carolina Greenville,BIOMEDICAL SCIENCES,NA,NA
Connecticut,CELL BIOLOGY,CB,2618417
UT Southwestern,CELL BIOLOGY,CB,7597196
New Mexico,CELL BIOLOGY AND PHYSIOLOGY,CB,1457985
Hawaii-Burns,CELL AND MOLECULAR BIOLOGY,CB,3705418
Caribe,ANATOMY AND CELL BIOLOGY,CB,NA
South Alabama,PHYSIOLOGY AND CELL BIOLOGY,CB,1690634
Nevada Reno,PHYSIOLOGY AND CELL BIOLOGY,CB,5486093
CUNY,MOLECULAR CELLULAR AND BIOMEDICAL SCIENCES,CB,914712
